"Show_Name","English","Type","Episodes","Rank","Score","Users","Popularity","Members","Favorites","Genre","Source","Licensors","Studios","Producers","Premiered"
"Fullmetal Alchemist: Brotherhood","Fullmetal Alchemist: Brotherhood","TV","64","1","9.25","735552","4","1202440","107147","Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","Manga","Funimation, Aniplex of America","Bones","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Spring 2009"
"Kimi no Na wa.","Your Name.","Movie","1","2","9.19","473780","33","733659","35067","Supernatural, Drama, Romance, School","Original","Funimation, NYAV Post","CoMix Wave Films","Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing & Communications",""
"Gintama°","","","","3","","","","","","","","","","",""
"Steins;Gate","Steins;Gate","TV","24","4","9.14","566251","8","1013340","92702","Thriller, Sci-Fi","Visual novel","Funimation","White Fox","Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus","Spring 2011"
"Steins;Gate 0","","TV","23","5","9.13","28291","316","228354","1920","Sci-Fi, Thriller","Visual novel","Funimation","White Fox","Frontier Works, Media Factory, Kadokawa Shoten, Movic, Nitroplus","Spring 2018"
"Ginga Eiyuu Densetsu","Legend of the Galactic Heroes","OVA","110","6","9.11","29114","670","125405","8590","Military, Sci-Fi, Space, Drama","Novel","Sentai Filmworks","Artland, Magic Bus","Kitty Films",""
"Gintama'","Gintama Season 2","TV","51","7","9.11","92197","344","215947","4550","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","None found, add some","Sunrise","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha","Spring 2011"
"Hunter x Hunter (2011)","Hunter x Hunter","TV","148","8","9.11","405164","34","723371","64548","Action, Adventure, Super Power, Shounen","Manga","Viz Media","Madhouse","VAP, Nippon Television Network, Shueisha","Fall 2011"
"3-gatsu no Lion 2nd Season","March Comes In Like A Lion 2nd Season","TV","22","9","9.09","31283","986","86551","2293","Drama, Game, Seinen, Slice of Life","Manga","Aniplex of America","Shaft","Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace Entertainment, Toy's Factory","Fall 2017"
"Gintama': Enchousen","Gintama: Enchousen","TV","13","10","9.06","63606","684","123909","1509","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Manga","None found, add some","Sunrise","TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus","Fall 2012"
"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare","","Movie","1","11","9.04","61115","828","105715","1395","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","None found, add some","Sunrise","TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha",""
"Koe no Katachi","A Silent Voice","Movie","1","12","9.04","298187","76","514861","19940","Drama, School, Shounen","Manga","NYAV Post","Kyoto Animation","Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras",""
"Owarimonogatari 2nd Season","Owarimonogatari Second Season","TV","7","13","9.02","43130","762","114567","2439","Comedy, Mystery, Supernatural, Vampire","Light novel","Aniplex of America","Shaft","Aniplex, Kodansha","Summer 2017"
"Clannad: After Story","Clannad ~After Story~","TV","24","14","9.01","363803","55","608508","47428","Slice of Life, Comedy, Supernatural, Drama, Romance","Visual novel","Sentai Filmworks","Kyoto Animation","Pony Canyon, TBS, Rakuonsha, Animation Do","Fall 2008"
"Gintama","","","","15","","","","","","","","","","",""
"Gintama.","Gintama Season 5","TV","12","16","9.01","40682","927","92242","1235","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Manga","None found, add some","Bandai Namco Pictures","TV Tokyo, Aniplex, Dentsu, Shueisha","Winter 2017"
"Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou","Haikyu!! 3rd Season","TV","10","17","8.99","158854","273","253559","4160","Comedy, Sports, Drama, School, Shounen","Manga","Sentai Filmworks","Production I.G","TOHO animation, Shueisha","Fall 2016"
"Code Geass: Hangyaku no Lelouch R2","Code Geass: Lelouch of the Rebellion R2","TV","25","18","8.95","545009","21","793137","44296","Action, Military, Sci-Fi, Super Power, Drama, Mecha","Original","Funimation, Bandai Entertainment","Sunrise","Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Spring 2008"
"Sen to Chihiro no Kamikakushi","Spirited Away","Movie","1","19","8.92","499726","39","707425","15456","Adventure, Supernatural, Drama","Original","Walt Disney Studios, GKIDS","Studio Ghibli","Toho",""
"Made in Abyss","Made in Abyss","TV","13","20","8.91","168138","178","328543","11910","Sci-Fi, Adventure, Mystery, Drama, Fantasy","Web manga","Sentai Filmworks","Kinema Citrus","Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Co., LTD.","Summer 2017"
"Shigatsu wa Kimi no Uso","Your Lie in April","TV","22","21","8.88","414779","37","719865","39765","Drama, Music, Romance, School, Shounen","Manga","Aniplex of America","A-1 Pictures","Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings","Fall 2014"
"Haikyuu!! Second Season","Haikyu!! 2nd Season","TV","25","22","8.87","206225","171","334835","6578","Comedy, Sports, Drama, School, Shounen","Manga","Sentai Filmworks","Production I.G","TOHO animation, Shueisha","Fall 2015"
"Kizumonogatari III: Reiketsu-hen","","Movie","1","23","8.87","62669","646","130663","1545","Action, Mystery, Supernatural, Vampire","Light novel","None found, add some","Shaft","Aniplex, Kodansha",""
"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen","Descending Stories: Showa Genroku Rakugo Shinju","TV","12","24","8.87","27437","1103","75245","1401","Drama, Historical, Josei","Manga","None found, add some","Studio Deen","Mainichi Broadcasting System, Kodansha, DAX Production, King Records","Winter 2017"
"Gintama.: Shirogane no Tamashii-hen","","TV","12","25","8.85","15342","1716","42735","389","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","None found, add some","Bandai Namco Pictures","TV Tokyo, Aniplex, Dentsu, Shueisha","Winter 2018"
"Mushishi Zoku Shou 2nd Season","","TV","10","26","8.83","48935","727","118622","701","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","Manga","Aniplex of America","Artland","Aniplex, Kodansha, Delfi Sound","Fall 2014"
"Cowboy Bebop","Cowboy Bebop","TV","26","27","8.81","366283","38","709733","39240","Action, Adventure, Comedy, Drama, Sci-Fi, Space","Original","Funimation, Bandai Entertainment","Sunrise","Bandai Visual","Spring 1998"
"Hajime no Ippo","Fighting Spirit","TV","75","28","8.80","116927","314","230027","10785","Comedy, Sports, Drama, Shounen","Manga","Geneon Entertainment USA","Madhouse","VAP","Fall 2000"
"Mononoke Hime","Princess Mononoke","Movie","1","29","8.80","334785","79","509381","10724","Action, Adventure, Fantasy","Original","GKIDS","Studio Ghibli","Tokuma Shoten, Nippon Television Network",""
"Code Geass: Hangyaku no Lelouch","Code Geass: Lelouch of the Rebellion R2","TV","25","30","8.95","545009","21","793137","44296","Action, Military, Sci-Fi, Super Power, Drama, Mecha","Original","Funimation, Bandai Entertainment","Sunrise","Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Spring 2008"
